annee,site,X lambert,Y lambert,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
2023,T70730,332710,2132198,0,0,0,4G,0,5G
2023,T70747,330348,2141263,p,p,p,p,p,0
2023,T78258,330075,2133875,p,p,p,p,p,0
2023,T78262,330700,2135150,p,p,p,p,p,0
2023,T78271,331270,2134765,p,p,p,p,p,0
2023,T78274,330815,2134120,p,p,p,p,p,0
2023,T70736,330516,2134754,p,p,p,p,p,0
2024,T70745,333740,2138512,p,p,p,p,p,0
2025,T70725,333055,2136495,0,0,0,4G,0,5G
2026,T70744,329300,2132650,p,p,p,p,p,0
2026,T78279,326299,2136325,p,p,p,p,p,0
2026,T36870,339649,2128802,p,p,p,p,p,0
2027,T70724,330420,2136140,0,0,0,4G,0,5G
2027,T78273,330839,2133352,p,p,p,p,p,0
2027,T78280,326663,2134352,p,p,p,p,p,0
2027,T70731,334370,2128940,p,p,p,p,p,0
